OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Rochester Percentage,Murphy Percentage
157,11,548,11-14,6753049.81942362,12492.6876805221,429,318,64,32,36.02,61.86
158,12,2255,12-01,1652878.69742267,5781.22234440857,1696,1329,26,182,64.4,34.03
159,12,1610,12-02,1516935.03707612,7061.302918967161,1365,1099,11,139,65.41,32.91
160,12,1628,12-03,1851671.40389714,5808.579912237571,1280,1000,16,141,65.3,33.55
161,12,2447,12-04,19802509.7436374,23489.878030908,2340,1751,13,243,58.29,39.57
162,12,2083,12-05,7160224.42996113,11888.7669334783,1803,1458,8,194,58.47,40.48
163,12,963,12-06,26404364.3192431,24616.23477955189,769,633,2,82,53.57,44.64
164,12,623,12-07,683101.51579564,4298.005267190861,448,377,1,36,69.28,30.38
165,12,174,12-08,222135.24768608,1940.6293630203104,262,207,8,24,80.58,17.27
166,12,2566,12-09,4793016.62435474,12111.9757042186,1657,1297,21,195,62.19,36.29
167,12,1711,12-10,19359009.9915831,22883.5453668828,1447,1134,15,158,57.78,41.27
168,12,1635,12-11,29469883.4858637,24521.0457315879,1545,1169,13,181,49.12,49.59
169,12,227,12-12,241497.45482274,1986.75332208088,218,182,0,27,66.99,33.01
170,12,825,12-13,5082055.9486561,9721.37765385017,643,516,3,47,53.87,44.75
171,12,1393,12-14,20385283.7527831,24568.696260991,1244,970,6,149,56.49,41.9
172,12,960,12-15,8603642.24351928,18492.8928383474,819,664,2,98,69.08,30.33
173,12,1828,12-16,1320948.3028161,5422.63138250306,1539,1256,26,165,70.31,27.07
174,12,2205,12-17,2413336.924261,6732.96153573267,1977,1601,24,224,75.18,23.36
175,13,2397,13-01,2324498.98997635,8311.54603540121,1641,1080,128,100,56.68,41.53
176,13,1857,13-02,1456256.66254656,5144.366635262771,1214,864,48,102,62.14,34.22
177,13,834,13-03,308821.08745298,2650.2940172275303,515,116,142,13,80.17,18.97
178,13,2489,13-04,3112798.9450707,7458.458103546131,1828,1311,81,156,59.47,38.8
179,13,2634,13-05,1376073.75484764,5680.29763306334,1635,1054,187,110,62.25,35.54
180,13,2417,13-06,1922220.91980244,8742.17476663315,1818,1289,153,145,57.37,40.03
181,13,1294,13-07,689809.769098755,3889.0059285203,915,635,98,61,61.95,34.51
182,13,3055,13-08,2005545.86687969,5974.410329205451,1912,1094,235,112,74.36,23.68
183,13,2329,13-09,1605172.60750945,6267.18107987684,1499,855,280,110,68.51,30.02
184,13,1147,13-10,1789432.5189435,6221.422118227871,779,518,58,57,57.81,39.45
185,13,2343,13-11,1770012.41332101,7908.8753738904,1480,814,288,81,71.46,27.54
186,13,39,13-12,59655.8086873,1129.8175042745702,10,0,0,0,0,0
187,13,998,13-13,1228529.86832136,5024.04030270434,472,214,108,30,75.68,21.62
188,13,1038,13-14,5010873.73984201,9665.9371726907,761,598,19,79,59.67,38.42
189,13,173,13-15,48816.18809055,1002.26391028648,126,46,48,3,68.75,28.13
190,14,1933,14-01,8300546.60687617,17791.6080834966,1823,1470,18,213,55.4,43.35
191,14,2577,14-02,8809043.75323773,17481.5294848857,2307,1835,39,253,57.81,41.32
192,14,3132,14-03,13865114.0811963,16800.142668707398,2627,2126,42,291,67.68,31.41
193,14,3102,14-04,24256522.1032396,33428.4601500173,2801,2303,17,300,61.74,37.67
194,14,2155,14-05,6381302.97288549,17392.0675394752,1908,1567,10,217,64.08,34.88
195,14,2160,14-06,8998956.81013456,14099.9427345682,1900,1585,18,193,60.34,38.85
196,14,1171,14-07,6309769.93414438,13829.2938315214,1175,960,3,159,63.82,35.31
197,14,3040,14-08,9758621.52262802,23168.7376111358,2437,1989,17,281,58.07,41.19
198,14,1480,14-09,14143731.5556077,15867.3348254237,2491,2015,17,294,59.83,39.48
199,14,1439,14-10,47502468.0156832,39518.9925379302,1275,1059,11,150,,
200,14,855,14-11,265285193.008142,101443.244523052,707,590,6,69,,
201,15,1388,15-01,21436972.5153144,29816.3905362944,1073,698,167,81,58.41,39.46
202,15,1569,15-02,3544880.98267218,8979.52685140055,1287,610,453,81,67.86,30.83
203,15,3298,15-03,18389998.6093197,19681.2971801077,2556,1018,952,167,69.08,29.86
204,15,1483,15-04,2855543.91501661,7635.18005134114,1223,646,342,92,66.55,32.76
205,15,1242,15-05,8220224.7791746,15234.1032085618,1012,579,243,74,54.35,44.37
206,15,2279,15-06,3407141.52050949,7544.238275729721,1779,695,692,128,76.86,20.95
207,15,2237,15-07,11218986.2012412,13560.000118889,1767,793,575,129,65.83,33.92
208,15,1734,15-08,1418450.43749045,5440.43063081006,1070,639,187,84,46.18,51.16
209,15,1899,15-09,5557846.45778666,9486.42507387503,1666,1091,332,108,53.78,44.35
210,15,3727,15-10,3071855.73236358,8371.758131287612,2503,888,1161,119,78.55,19.76
211,15,3674,15-11,6144107.47206347,13235.588999193,2284,748,1118,134,84.19,14.57
212,16,2626,16-01,3659509.56192026,9939.644464303392,1973,887,613,104,66.96,31.3
213,16,2761,16-02,11258687.1111251,20730.6669812922,2013,376,1291,53,84.29,14.16
214,16,1953,16-03,1998170.5587612,7496.78465576507,1508,80,1242,13,94.48,5.04
215,16,892,16-04,1760486.26466334,6365.74478776348,615,178,277,33,71.08,25.9
216,16,2384,16-05,1823782.36579723,7092.74128746333,1860,225,1248,31,92.27,7
217,16,2113,16-06,17225461.600176,24534.6215677366,1377,237,946,57,89.34,8.38
218,16,1588,16-07,2988958.76329999,11341.084396078,1386,578,621,76,79.57,19.01
219,16,3315,16-08,2755693.22497339,9898.95607864791,2229,589,1274,101,82.48,16.73
220,16,1811,16-09,1283648.84059966,5241.87040274116,1208,713,260,66,67.8,30.51
221,16,165,16-10,789324.0403731951,4097.245242894531,136,57,67,5,86.36,11.36
222,16,2238,16-11,30321345.2515544,23599.3364238825,1428,629,261,72,63.6,33.92
223,16,1168,16-12,1207968.82889742,5825.02063051221,938,633,141,105,69.39,29.13
224,16,1155,16-13,11680656.2841413,17475.4160367316,524,238,157,30,71.6,23.46
225,17,1956,17-01,82579775.0236859,47608.9798743894,1479,1108,153,118,51.45,45.82
226,17,3436,17-02,35847019.0175811,28665.336665800503,2676,440,1730,85,87.88,10.79
227,17,2545,17-03,3368193.45679781,8073.21585403117,2002,560,1123,102,79.52,18.71
228,17,1192,17-04,24990833.3299948,24170.8637552818,733,444,205,44,67.61,30.85
229,17,1870,17-05,1964584.35763796,7397.7825334769905,1356,762,301,91,60.6,37.8
230,17,374,17-06,13730678.5889238,18065.2362797497,224,181,14,13,41.57,56.18
231,17,2220,17-07,3102683.38101841,8641.96677255697,1541,662,340,78,62.9,36.02
232,17,1555,17-08,3257679.52849058,8260.51894885524,1121,330,569,60,74.74,23.53
233,17,1559,17-09,1381364.53043212,5720.21352230604,1208,651,282,93,58.38,39.84
234,17,2379,17-10,1508637.43306269,5857.67842411613,1530,663,456,88,67,31.23
235,17,3354,17-11,16654886.9882113,18471.8355397834,1967,830,693,121,61.32,36.69
236,17,1829,17-12,2528967.82629164,10782.2173420895,1606,831,451,102,59.31,37.85
237,17,424,17-13,47412.47835924,1248.0113231418402,132,38,63,5,94.74,5.26
238,17,6,17-14,2133847.43402984,6867.46213316479,6,3,2,1,0,0
239,18,3791,18-01,3163309.57786134,9196.68431933918,2398,1154,671,204,69.16,29.51
240,18,3804,18-02,15827229.1187108,19970.518271546003,1743,992,339,146,67.52,30.71
241,18,1630,18-03,1505219.13637459,6725.61103649217,1053,384,428,69,74.55,23.94
242,18,2435,18-04,3802124.80171728,9527.16100258528,1798,718,761,83,74.33,24.26
243,18,2890,18-05,3260293.46963131,8334.824229300471,2107,1498,115,190,60.83,36.76
244,18,3490,18-06,2171138.30523002,7704.535009011821,2350,718,1229,87,77.61,21.49
245,18,2017,18-07,1254631.60398907,5142.16805690048,1218,660,319,72,59.95,36.69
246,18,3367,18-08,3112768.97096044,8748.011673258501,2294,850,1023,109,77.47,21.6
247,18,1081,18-09,2864835.3664835,9633.888205579162,890,407,299,48,63.33,35.64
248,19,1912,19-01,2301611.20155538,6812.71135797892,1496,1071,143,124,59,39.18
249,19,1969,19-02,2280108.05583717,8639.01945153756,1338,953,100,107,54.6,42.18
250,19,2504,19-03,4269426.00906354,10046.4935543347,2089,1654,34,193,55.67,42.37
251,19,2662,19-04,2775412.70586053,7383.948529177021,1806,1249,89,138,54.9,42.88
252,19,1724,19-05,5604916.32786785,10976.9394390823,908,657,22,56,51.24,47
253,19,836,19-06,2547194.95746736,7462.1032020681,441,279,64,35,64.42,30.77
254,19,1499,19-07,1487353.49555332,6097.5755804727,1086,784,27,107,57.46,40.31
255,19,2394,19-08,2282073.35112383,7628.7385672521,1678,1287,49,137,55.62,41.19
256,19,2250,19-09,2667413.57526644,6742.68268929233,1532,1128,80,144,52.88,45.03
257,19,1373,19-10,1472842.21411779,5007.52213282937,1032,775,16,94,62.02,36.3
258,19,1764,19-11,1223855.68901954,4988.498504815911,897,553,77,73,56.36,41.92
259,19,2140,19-12,4842072.2107283,11724.6192071001,1491,915,185,92,65.64,32.11
260,19,2103,19-13,5385310.01446802,9910.43189803199,1662,1200,31,122,58.02,40.97
261,20,2239,20-01,13170178.2345231,23887.5081408375,1728,1366,93,147,56.33,41.78
262,20,2089,20-02,31371763.6505413,22980.62445091849,1859,1540,31,192,55.33,43.57
263,20,2268,20-03,40094770.0153651,31567.340915913,2266,1803,33,271,47.9,50.42
264,20,1245,20-04,2564414.74318848,7728.884421943291,1055,829,4,164,52.85,45.96
265,20,2616,20-05,12947977.2740013,18631.616390786,2316,1796,23,294,56.2,42.58
266,20,789,20-06,94272015.9761947,65131.416606782106,733,594,6,95,52.65,46.54
267,20,2071,20-07,4785211.34877743,9256.80876998879,1818,1547,14,183,68.46,30.26
268,20,2941,20-08,8083318.82021065,17617.5519328972,2357,1930,31,237,54.75,43.42
269,20,2925,20-09,39589110.4071153,33759.6233082666,2251,1818,58,246,46.63,52.31
270,20,1006,20-10,24765597.6551826,23926.600978995502,1064,877,30,105,43.21,55.73
271,20,571,20-11,9218972.1218886,14124.3476455668,568,433,40,68,41.9,57.8
272,20,1584,20-12,4344162.63962081,9543.19224245609,1397,1180,3,138,,
531,20,734,20-13,69267672.1259313,53873.4570435892,786,657,6,85,,
273,21,1342,21-01,1805817.72488292,7420.811035476011,855,625,14,90,61.15,37.53
274,21,1812,21-02,2896916.22332067,10187.7063195692,1464,1126,35,130,53.35,45.34
275,21,1833,21-03,4107576.44984802,10812.0052358776,1436,1117,51,98,54.02,43.97
276,21,2457,21-04,1900586.61939959,5633.05662505709,1576,1103,165,117,66.57,30.9
277,21,2323,21-05,4482717.34808546,9055.532046241182,1958,1546,40,202,57.19,41.55
278,21,3067,21-06,2611647.32394831,8046.114126361001,1941,1389,67,208,64.11,33.78
279,21,154,21-07,3070784.96639951,8958.08109744777,144,114,0,11,31.58,65.79
280,21,1645,21-08,1667523.17055706,5695.375885889161,1236,980,60,91,52.44,45.11
281,21,1142,21-09,1559904.88567158,6162.914989704341,895,641,30,77,57.48,40.89
282,21,1800,21-10,4194714.90894968,9623.02869546316,1488,1167,20,170,55.29,42.61
