geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100050518012025,0,0,0,0,
100050518012024,4,0,4,3,0.75
100050518012023,0,0,0,0,
100050518012022,9,0,9,8,0.8888999999999999
100050518012021,4,0,4,4,1.0
100050518012020,8,0,8,5,0.8333
100050518012019,38,0,37,27,0.8182
100050518012018,5,0,5,3,0.5999999999999999
100050518012017,4,0,3,2,0.5
100050518012016,26,0,23,13,0.5908999999999999
100050518012015,30,1,29,24,0.8571000000000002
100050518012014,14,0,14,11,0.8462
100050518012013,6,0,6,4,0.8
100050518012012,4,0,3,3,0.75
100050518012011,114,8,91,71,0.8160999999999999
100050518012010,13,0,12,11,0.8462
100050518012009,29,0,28,22,0.8147999999999999
100050518012008,6,2,3,3,0.5999999999999999
100050518012007,0,0,0,0,
100050518012006,34,7,22,24,0.75
100050518012005,34,0,31,26,0.7647
100050518012004,50,0,43,35,0.7954999999999999
100050518012003,18,0,17,14,0.8234999999999999
100050518012002,5,0,5,5,1.0
100050518012001,15,4,9,5,0.3332999999999999
100050518012000,11,0,10,9,0.8182
100050518011036,0,0,0,0,
100050518011035,3,0,2,1,0.5
100050518011034,16,6,9,2,0.125
100050518011033,1,0,1,0,0.0
100050518011032,1,1,0,1,1.0
100050518011031,0,0,0,0,
100050518011030,15,4,3,8,0.6154
100050518011029,38,8,29,23,0.6389
100050518011028,211,73,116,68,0.3486999999999999
100050518011027,3,0,1,2,0.6666999999999998
100050518011026,2,0,0,0,0.0
100050518011025,6,1,5,4,0.6666999999999998
100050518011024,12,4,6,8,0.8
100050518011023,37,3,26,21,0.5999999999999999
100050518011022,53,4,44,23,0.4894
100050518011021,44,5,36,25,0.6098
100050518011020,3,1,2,2,0.6666999999999998
100050518011019,0,0,0,0,
100050518011018,1,0,1,0,0.0
100050518011017,0,0,0,0,
100050518011016,0,0,0,0,
100050518011015,0,0,0,0,
100050518011014,7,4,3,1,0.1429
100050518011013,24,0,23,21,0.913
100050518011012,30,6,20,13,0.4642999999999999
100050518011011,2,2,0,1,0.5
100050518011010,6,0,4,1,0.3332999999999999
100050518011009,16,1,11,6,0.4
100050518011008,1,0,1,0,0.0
100050518011007,35,1,26,27,0.7714
100050518011006,60,1,50,35,0.6363999999999999
100050518011005,45,4,32,25,0.625
100050518011004,24,3,15,11,0.5
100050518011003,29,0,24,9,0.3214
100050518011002,129,20,78,55,0.4660999999999999
100050518011001,118,8,90,56,0.5233999999999999
100050518011000,7,0,3,5,0.8333
100050517023077,9,1,7,4,0.5
100050517023076,40,4,30,15,0.4054
100050517023075,11,0,11,3,0.3332999999999999
100050517023074,42,1,35,25,0.625
100050517023073,0,0,0,0,
100050517023072,0,0,0,0,
100050517023071,22,0,22,13,0.65
100050517023070,12,0,9,9,0.8182
100050517023069,12,0,11,7,0.6363999999999999
100050517023068,25,0,24,16,0.6666999999999998
100050517023067,4,0,4,1,0.25
100050517023066,21,0,21,12,0.6666999999999998
100050517023065,1,0,1,0,0.0
100050517023064,0,0,0,0,
100050517023063,4,0,4,3,0.75
100050517023062,4,0,4,2,0.6666999999999998
100050517023061,15,0,12,12,0.8
100050517023060,7,0,6,6,0.8571000000000002
100050517023059,0,0,0,0,
100050517023058,5,0,5,5,1.0
100050517023057,5,0,5,5,1.0
100050517023056,5,0,2,3,0.5999999999999999
100050517023055,9,0,9,6,0.75
100050517023054,17,0,17,9,0.5293999999999999
100050517023053,10,0,7,6,0.5999999999999999
100050517023052,4,0,4,4,1.0
100050517023051,0,0,0,0,
100050517023050,17,4,13,10,0.5882
100050517023049,16,0,13,8,0.5
100050517023048,30,2,19,16,0.5517
100050517023047,11,0,11,8,0.8
100050517023046,5,1,4,5,1.0
100050517023045,0,0,0,0,
100050517023044,0,0,0,0,
100050517023043,1,0,1,1,1.0
100050517023042,20,3,15,12,0.6666999999999998
100050517023041,36,2,28,16,0.5333
100050517023040,54,1,45,35,0.7291999999999998
100050517023039,4,0,3,2,0.5
100050517023038,19,1,18,14,0.875
100050517023037,151,3,127,79,0.5410999999999999
100050517023036,50,1,44,23,0.5227
100050517023035,6,0,6,5,0.8333
100050517023034,18,2,10,14,0.875
100050517023033,11,0,11,9,0.8182
100050517023032,67,5,56,43,0.7167
100050517023031,27,1,25,20,0.7691999999999999
100050517023030,0,0,0,0,
100050517023029,11,0,8,7,0.6999999999999998
100050517023028,0,0,0,0,
100050517023027,76,0,61,47,0.6184
100050517023026,49,0,45,32,0.6666999999999998
100050517023025,6,0,6,1,0.1666999999999999
100050517023024,7,0,6,2,0.6666999999999998
100050517023023,33,2,29,17,0.5666999999999999
100050517023022,6,0,6,2,0.4
100050517023021,68,0,63,38,0.5672
100050517023020,0,0,0,0,
100050517023019,1,0,1,0,0.0
100050517023018,28,1,20,19,0.76
100050517023017,0,0,0,0,
100050517023016,50,1,44,37,0.7872
100050517023015,4,0,4,4,1.0
