OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Biden Percentage,Trump Percentage,Hawkins Percentage,Jorgensen Percentage
251,19,2662,19-04,2775412.70586053,7383.948529177021,1806,1249,89,138,61.4,36.52,0.72,1.36
252,19,1724,19-05,5604916.32786785,10976.9394390823,908,657,22,56,58.61,40.25,0.35,0.79
253,19,836,19-06,2547194.95746736,7462.1032020681,441,279,64,35,74.4,24,0,1.6
254,19,1499,19-07,1487353.49555332,6097.5755804727,1086,784,27,107,59.75,38,0.5,1.75
255,19,2394,19-08,2282073.35112383,7628.7385672521,1678,1287,49,137,57.06,41.06,0.51,1.37
256,19,2250,19-09,2667413.57526644,6742.68268929233,1532,1128,80,144,54.69,43.31,0.73,1.27
257,19,1373,19-10,1472842.21411779,5007.52213282937,1032,775,16,94,63.28,33.78,0.4,2.54
258,19,1764,19-11,1223855.68901954,4988.498504815911,897,553,77,73,65.37,33.85,0.78,0
259,19,2140,19-12,4842072.2107283,11724.6192071001,1491,915,185,92,71.81,26.28,0.77,1.15
260,19,2103,19-13,5385310.01446802,9910.43189803199,1662,1200,31,122,,,,
261,20,2239,20-01,13170178.2345231,23887.5081408375,1728,1366,93,147,58.14,40.48,0.61,0.77
262,20,2089,20-02,31371763.6505413,22980.62445091849,1859,1540,31,192,49.18,49.79,0.21,0.82
263,20,2268,20-03,40094770.0153651,31567.340915913,2266,1803,33,271,46.22,52.9,0.27,0.61
264,20,1245,20-04,2564414.74318848,7728.884421943291,1055,829,4,164,46.88,52.14,0.15,0.83
265,20,2616,20-05,12947977.2740013,18631.616390786,2316,1796,23,294,54.67,44.64,0.17,0.52
266,20,789,20-06,94272015.9761947,65131.416606782106,733,594,6,95,50.99,47.58,0.48,0.96
267,20,2071,20-07,4785211.34877743,9256.80876998879,1818,1547,14,183,66.06,32.88,0.4,0.66
268,20,2941,20-08,8083318.82021065,17617.5519328972,2357,1930,31,237,31.69,67.19,0.45,0.67
269,20,2925,20-09,39589110.4071153,33759.6233082666,2251,1818,58,246,37.8,59.76,0.3,2.13
270,20,1006,20-10,24765597.6551826,23926.600978995502,1064,877,30,105,34.06,64.38,1.25,0.31
271,20,571,20-11,9218972.1218886,14124.3476455668,568,433,40,68,,,,
272,20,1584,20-12,4344162.63962081,9543.19224245609,1397,1180,3,138,,,,
531,20,734,20-13,69267672.1259313,53873.4570435892,786,657,6,85,,,,
273,21,1342,21-01,1805817.72488292,7420.811035476011,855,625,14,90,62.11,36.7,0.15,1.04
